1	213.74	24.459	171.14
2	214.22	24.352	171.21
3	214.87	24.668	170.7
4	336.65	31.005	2.1244
5	337.01	30.569	2.1433
6	337.07	30.66	2.0438
7	337.15	30.251	1.5956
8	337.15	30.36	1.8485
9	336.73	31.016	2.2278
10	336.77	30.501	2.4572
11	336.64	30.386	1.9116
12	337.06	30.745	1.7712
13	337.01	30.691	1.8136
14	336.89	30.757	2.1431
15	337.28	30.372	1.6339
16	336.83	30.827	1.9021
17	336.96	30.413	1.7085
18	337.02	30.628	1.6852
19	337.17	30.83	1.6
20	336.85	30.748	2.2438
21	336.86	30.626	2.2245
22	336.85	30.842	2.0656
23	336.4	30.606	2.0764
24	336.8	30.545	1.1635
25	336.61	30.531	1.8479
26	336.51	30.781	2.4553
27	253.14	43.873	110.25
28	253.28	42.875	110.65
29	255.42	43.757	109.18
30	205.84	39.396	147.37
31	204.17	39.344	148.41
32	204.19	39.254	148.0
33	203.53	39.522	148.7
34	204.98	39.429	147.53
35	204.77	39.429	147.96
36	203.32	39.15	148.68
37	204.8	39.572	147.75
38	204.89	39.527	147.67
39	204.99	39.615	147.86
40	203.47	39.493	148.44
41	104.84	22.85	276.48
42	204.93	39.569	147.82
43	104.52	22.633	276.45
44	103.49	22.768	277.23
45	105.31	22.664	276.24
46	104.91	22.743	276.28
47	105.73	22.878	275.59
48	104.35	22.477	276.71
49	104.44	23.401	276.68
50	104.63	23.378	276.46
51	104.21	23.902	276.61
52	104.47	23.317	276.2
53	105.21	23.25	275.71
54	105.33	23.307	275.6
55	104.84	23.321	276.04
56	104.96	23.259	275.95
57	105.0	23.112	275.78
58	103.9	23.329	276.8
59	104.8	23.325	276.13
60	103.53	23.843	277.02
61	104.55	22.941	276.91
62	104.36	23.299	276.54
63	105.15	23.455	275.93
64	105.21	23.359	275.57
65	105.23	22.744	275.29
66	16.54	44.129	301.82
67	15.973	43.948	301.77
68	16.682	44.152	301.18
69	15.692	44.493	302.29
70	237.33	53.492	152.17
71	236.74	53.163	152.88
72	236.88	52.675	152.08
73	169.29	27.716	154.6
74	328.57	17.846	1.8992
75	327.55	18.172	3.7416
76	328.19	17.849	2.2544
77	326.9	18.079	4.6703
78	328.1	17.97	2.8856
79	326.73	17.349	4.6191
80	328.24	18.418	2.8184
81	328.12	17.935	3.0432
82	328.33	17.7	3.0758
83	328.15	17.968	2.8711
84	329.55	17.739	1.0883
85	327.98	18.069	3.3904
86	327.55	18.188	3.7592
87	327.27	18.045	4.1173
88	328.08	17.997	3.3488
89	328.83	18.133	2.5952
90	327.85	17.865	3.0108
91	328.39	16.987	2.6249
92	327.57	17.726	3.5201
93	327.54	17.916	3.8634
94	328.05	18.004	3.0689
95	329.43	17.889	1.8858
96	327.9	17.994	3.5314
97	328.02	18.021	3.6117
98	327.69	17.62	3.3531
99	329.87	17.459	1.197
100	329.17	17.896	1.738
101	329.71	17.787	1.6193
102	327.87	17.875	3.0854
103	328.72	18.361	2.5152
104	285.38	34.408	106.84
105	328.39	17.794	2.2177
106	328.39	17.794	2.2177
107	75.99	14.273	266.13
108	74.593	14.256	267.57
109	74.458	14.507	268.05
110	76.515	14.27	265.82
111	75.286	14.521	266.67
112	75.806	14.431	266.24
113	75.647	13.903	267.1
114	75.706	13.913	266.95
115	74.023	13.594	268.82
116	74.639	14.661	267.59
117	311.89	40.413	25.528
118	233.02	53.669	146.24
119	233.81	53.429	145.13
120	232.95	53.453	145.54
121	231.99	53.47	146.02
122	232.26	52.698	146.18
123	233.07	52.73	145.89
124	232.68	52.417	145.61
125	233.52	53.537	145.43
126	233.38	53.523	145.66
127	233.67	53.658	145.5
128	234.06	53.932	144.91
129	233.83	52.857	144.7
130	233.95	54.084	145.28
131	102.41	31.404	234.27
132	102.81	29.646	235.25
133	102.3	30.801	234.73
134	102.31	30.892	235.47
